subjectLabel,relation,objectLabel
antivenom,different from,blood serum
hand sanitizer,has part(s),ethanol
diaphragm,subclass of,birth control
digestive enzyme,instance of,essential medicine
polio vaccine,vaccine for,poliomyelitis
polio vaccine,discoverer or inventor,Jonas Salk
peritoneal dialysis,health specialty,nephrology
antivenom,instance of,essential medicine
nicotine replacement therapy,therapeutic area,smoking cessation
polio vaccine,has part(s),Sabin vaccine
polio vaccine,location of creation,University of Pittsburgh
oxygen therapy,uses,dioxygen
varicella vaccine,different from,smallpox vaccine
varicella vaccine,developer,Michiaki Takahashi
polio vaccine,subclass of,vaccine
HPV vaccine,subclass of,vaccine
hand sanitizer,instance of,essential medicine
peritoneal dialysis,subclass of,renal dialysis
oxygen therapy,subclass of,first aid
varicella vaccine,subclass of,attenuated vaccine
diaphragm,instance of,essential medicine
HPV vaccine,instance of,essential medicine
polio vaccine,instance of,essential medicine
nicotine replacement therapy,instance of,essential medicine
caffeine citrate,subject has role,stimulant
peritoneal dialysis,instance of,essential medicine
hepatitis A vaccine,route of administration,intramuscular injection
hepatitis A vaccine,brand,Twinrix
Japanese encephalitis vaccine,vaccine for,Japanese encephalitis
varicella vaccine,instance of,essential medicine
rabies vaccine,subclass of,vaccine
diphtheria vaccine,vaccine for,diphtheria
Japanese encephalitis vaccine,subclass of,vaccine
ethiodized oil,medical condition treated,iodine deficiency
ethiodized oil,different from,iodine in medicine
diphtheria vaccine,subclass of,bacterial vaccine
rotavirus vaccine,subclass of,viral vaccines
ethiodized oil,subclass of,vegetable oil
tetanus vaccine,vaccine for,tetanus
tetanus vaccine,subclass of,vaccine
Japanese encephalitis vaccine,instance of,essential medicine
tetanus vaccine,part of,DPT vaccine
rabies vaccine,instance of,essential medicine
rotavirus vaccine,instance of,essential medicine
measles vaccine,subclass of,vaccine
mumps vaccine,subclass of,viral vaccines
typhoid vaccine,vaccine for,typhoid fever
yellow fever vaccine,medical condition treated,yellow fever
ethiodized oil,instance of,essential medicine
yellow fever vaccine,vaccine for,yellow fever
pneumococcal vaccine,vaccine for,pneumococcal infection
hepatitis A vaccine,instance of,essential medicine
diphtheria vaccine,instance of,essential medicine
rubella vaccine,subclass of,vaccine
copper IUD,subject has role,essential medicine
pertussis vaccine,subclass of,bacterial vaccine
copper IUD,made from material,copper
meningococcal vaccine,subclass of,bacterial vaccine
copper IUD,facet of,women's health
yellow fever vaccine,subclass of,viral vaccines
tetanus vaccine,instance of,essential medicine
rubella vaccine,instance of,essential medicine
pertussis vaccine,instance of,essential medicine
yellow fever vaccine,instance of,essential medicine
measles vaccine,instance of,essential medicine
typhoid vaccine,instance of,essential medicine
mumps vaccine,instance of,essential medicine
whole blood,instance of,essential medicine
pneumococcal vaccine,instance of,essential medicine
meningococcal vaccine,instance of,essential medicine
copper IUD,instance of,essential medicine
platelet transfusion,instance of,essential medicine
Azor,instance of,combination drug
mometasone/formoterol,instance of,combination drug
thiamphenicol glycinate acetylcysteine,subclass of,chemical compound
Tegafur/gimeracil/oteracil,subject has role,antineoplastic antimetabolite
ezetimibe/simvastatin,instance of,combination drug
thiamphenicol glycinate acetylcysteine,instance of,combination drug
Oxycodone/paracetamol,instance of,combination drug
Tegafur/gimeracil/oteracil,instance of,combination drug
